,Name,Carrier
0,Avianca,AV
1,Air Canada,AC
2,British Airways,BA
3,American Airlines,AA
4,Air France,AF
5,Azul,AD
6,Copa Airlines,CM
7,Estelar Latinoamerica,ES
8,Emirates,EK
9,Delta,DL
10,GOL Linhas A̩reas,G3
11,Iberia,IB
12,Cayman Airways,KX
13,EL AL,LY
14,KLM,KL
15,Wingo,P5
16,LASER Airlines,QL
17,Sunrise Airways,S6
18,Asiana Airlines,OZ
19,Qatar Airways,QR
20,United Airlines,UA
21,Turkish Airlines,TK
22,Air Europa,UX
23,EVA Air,BR
24,Korean Air,KE
25,Turpial Airlines,T9
26,Venezolana,WW
